gene;Arabidopsis_G18_wt22;Arabidopsis_G18_wt29;Arabidopsis_G17_mut22;Arabidopsis_Ruben_mut29
AT1G04020;4,398744706;4,907952127;4,683333228;4,979548693
AT1G04023;0;0;0;0
AT1G04027;2,082681317;1,837404786;3,677682047;1,742629786
AT1G04030;1,723365287;1,672445784;0,760796854;2,883962761
AT1G04033;0;0;0;0
AT1G04037;0;0;0;0
AT1G04040;74,14576256;96,56300168;92,48198787;107,3382712
AT1G04043;0;0;0;0
AT1G04047;0,708111648;0;0;0
AT1G04050;1,456558769;1,383868162;0,395699967;1,593734203
AT1G04053;2,212848899;2,928363878;1,953768587;2,314430184
AT1G04057;0;0;0;0
AT1G04063;0;0;0;0
AT1G04067;0;0;0;0
AT1G04070;4,162339874;4,488174536;2,450008795;2,321820237
AT1G04073;0;0;0;0
AT1G04077;0;0;0;0
AT1G04080;19,45625626;19,83499658;21,47289764;22,61044413
AT1G04083;0;0;0;0
AT1G04087;0;0;0;0
AT1G04090;0;0,26672005;0,133464268;0,758887165
AT1G04093;0;0;0;0
AT1G04097;0;0;0;0
AT1G04100;1,221818411;1,940265637;0,431507173;3,066974968
AT1G04103;0;0;0;0
AT1G04105;0;0;0;0
AT1G04110;1,268512108;4,252655823;3,247984722;3,396463149
AT1G04117;0;0;0;0
AT1G04120;10,90956604;18,3973103;20,11740608;24,38966998
AT1G04123;0;0;0;2,639825319
AT1G04127;0;0;0;0
AT1G04130;3,928564621;8,47219796;6,74451622;8,21781238
AT1G04133;0;0;0;0
AT1G04137;0;0;0;0
AT1G04140;17,03411982;25,28666581;21,88420948;23,98235672
AT1G04143;0;0;0;0
AT1G04147;0;0;0;0
AT1G04150;0,093528101;0,082513335;0,247733499;0,078257223
AT1G04153;0;0;0;0
AT1G04157;0;0;0;0
AT1G04160;2,187113192;2,411922203;2,896569025;2,440013946
AT1G04163;0;0;0;0
AT1G04167;0;0;0;0
AT1G04170;32,54434791;32,6141627;47,28565561;43,75409035
AT1G04173;0;0;0;0
AT1G04177;0;0;0;0
AT1G04180;0,580419383;1,024127258;1,195749081;0,485650924
AT1G04183;3,018122925;3,363385033;2,524510558;2,392423943
AT1G04187;2,395866477;0;0;12,02807627
AT1G04190;12,42961935;12,76018984;11,37342735;10,40016287
AT1G04193;0;0;0;0
AT1G04197;4,425697798;1,952242585;0;1,851544147
AT1G04200;5,472606221;7,196601313;4,923041003;6,39340714
AT1G04203;0;0;0;0
AT1G04207;0;0;0;0
AT1G04210;11,21839801;16,14438812;18,54543486;18,97312654
AT1G04213;0;12,89554735;0;4,892153343
AT1G04217;4,456646734;7,863578526;35,41376349;0
AT1G04220;7,178213079;4,81846358;10,33335002;5,483907445
AT1G04223;2,74698484;7,270420663;0;4,596937193
AT1G04227;0;2,627317124;0;12,45898866
AT1G04230;1,920543896;3,388724448;5,228367169;2,00870686
AT1G04233;0;0;0;0
AT1G04237;0;2,839625579;0;0
AT1G04240;8,484769743;9,356902333;9,572310002;9,268676619
AT1G04243;0;0;0;0
AT1G04247;0,415450119;0;0,366809226;0
AT1G04250;26,23035524;34,28328443;35,38227259;35,96963203
AT1G04253;0;0;0;0
AT1G04257;0;0;0;0
AT1G04260;2,725624149;5,902269963;7,657071291;7,049113643
AT1G04263;0;16,86737594;36,57454796;7,998670717
AT1G04267;0;2,022467139;0;5,754439364
AT1G04270;143,5486398;126,337074;167,7647299;148,8327195
AT1G04273;6,684970101;3,931789263;17,70688174;1,864492009
AT1G04277;4,552146307;2,008020945;18,08631492;1,904445409
AT1G04280;8,405641861;5,168527133;9,670451713;5,541311981
AT1G04283;0;0;0;0
AT1G04287;0;0;0;0
AT1G04290;6,551687208;7,619219661;6,573427023;9,718011151
AT1G04293;0;0;0;0
AT1G04295;0,579364075;1,533397813;0;1,454303767
AT1G04297;0;0;0;0
AT1G04300;13,09405817;16,32182454;15,29036286;16,89362232
AT1G04303;0;0;0;0
AT1G04307;0;0;0;0
AT1G04310;1,364403525;3,28286803;3,066405194;5,396793529
AT1G04313;0;0;0;0,768364142
AT1G04320;0;0;0;0
AT1G04323;0;0;0;0
AT1G04327;0;0;0;0
AT1G04330;3,218689308;0,811321594;1,623911553;1,923682231
AT1G04333;0;0;0;0
AT1G04337;0;0;0;0
AT1G04340;10,73412748;7,305408251;4,603296922;11,29103341
AT1G04343;0;0;0;0
AT1G04347;0;0,685665689;0;0
AT1G04350;7,105143533;16,89735512;11,04641629;17,96437598
AT1G04353;0;0,192814083;1,157788793;0,182868558
AT1G04357;0;0;0;0
AT1G04360;1,460024016;0,966058187;1,77249109;0,76352336
AT1G04363;0;0;11,05274801;1,904445409
AT1G04367;0;0;0;0
AT1G04370;0;0;0;0
AT1G04373;0;0;0;0
AT1G04377;0;0;0;0
AT1G04380;0;0;0,150450629;0
AT1G04383;0;0;0;0
AT1G04387;0;0;0;0
AT1G04390;2,303717767;2,520188231;2,440798235;2,698606854
AT1G04393;0;0,697575514;1,396241571;0,661593939
AT1G04397;0;0;0;0
AT1G04400;17,99606032;22,22734028;17,37206286;26,30085
AT1G04403;0;0;0;0
AT1G04407;0;0;0;0
AT1G04410;154,3648119;141,2616478;205,8391314;189,4247258
AT1G04413;0;0;0;0
AT1G04417;0;0;0;0
AT1G04420;30,38728625;40,76374329;38,77420298;40,57675325
AT1G04423;2,096383168;3,698985951;0;0
