gene;mut_22_GH-mut_29_GH_adjPval;wt_22_GH-wt_29_GH_adjPval
AT5G61320;0,49226346;0,356707178
AT2G42060;0,999964783;0,356006148
AT4G08575;0,999964783;0,356006148
AT1G02250;0,999964783;0,356006148
AT1G13200;0,999964783;0,356006148
AT1G51900;0,999964783;0,356006148
AT2G15740;0,999964783;0,356006148
AT5G15900;0,999964783;0,355845604
AT2G05925;0,999964783;0,355845604
AT2G27630;0,999964783;0,355842364
AT1G10680;0,999964783;0,355842364
AT1G28820;0,999964783;0,354651401
AT1G29775;0,999964783;0,354651401
AT1G11684;0,999964783;0,35418971
AT1G08603;0,999964783;0,35418971
AT5G64800;0,301007449;0,354014173
AT5G09500;0,999964783;0,353554632
AT1G19960;0,999964783;0,353554632
AT2G43660;0,999964783;0,353554632
AT1G04327;0,999964783;0,353554632
AT2G08740;0,999964783;0,35338087
AT2G37030;0,999964783;0,353345723
AT3G07045;0,999964783;0,352873828
AT5G23790;0,999964783;0,352668348
AT1G47690;0,999964783;0,352294359
AT1G19540;0,999964783;0,351389715
AT1G04977;0,999964783;0,351389715
AT5G58630;0,629544855;0,351285672
AT1G05873;0,999964783;0,350909148
AT1G33355;0,999964783;0,350909148
AT3G54060;0,999964783;0,349987422
AT4G06255;0,999964783;0,348856905
AT1G26558;0,999964783;0,348856905
AT5G44360;0,974609038;0,348856905
AT1G66050;0,999964783;0,348842517
AT1G56810;0,999964783;0,348703122
AT3G17690;0,999964783;0,348509752
AT2G36355;0,999964783;0,348509752
AT1G07500;0,999964783;0,348509752
AT5G57570;0,999964783;0,348509752
AT1G04243;0,999964783;0,348509752
AT1G53890;0,999964783;0,348509752
AT2G05045;0,999964783;0,348509752
AT5G46000;0,940361205;0,34741004
AT1G05523;0,999964783;0,346531508
AT2G34940;0,999964783;0,346085139
AT1G10340;0,999964783;0,346070472
AT1G65481;0,999964783;0,345966169
AT5G00765;0,999964783;0,345563217
AT1G53285;0,999964783;0,345532771
AT5G15840;0,999964783;0,345341761
AT2G35700;0,999964783;0,344314807
AT2G28270;0,999964783;0,344255872
AT1G06610;0,999964783;0,344255872
AT5G23700;0,999964783;0,344107613
AT1G18100;0,999964783;0,343848916
AT3G43890;0,999964783;0,343784324
AT4G22940;0,999964783;0,342475351
AT1G08893;0,999964783;0,342264267
AT1G42615;0,999964783;0,341730649
AT5G39000;0,999964783;0,341711583
AT4G15710;0,999964783;0,341447326
AT1G31840;0,999964783;0,341311643
AT3G17655;0,999964783;0,341311643
AT2G08820;0,999964783;0,341311643
AT2G19582;0,999964783;0,341311643
AT3G29639;0,999964783;0,341311643
AT4G06235;0,999964783;0,341311643
AT1G75430;0,999964783;0,341311643
AT1G32620;0,999964783;0,341311643
AT2G09660;0,999964783;0,341311643
AT5G53190;0,753073226;0,341311643
AT1G07503;0,999964783;0,341175508
AT2G24850;0,999964783;0,34035271
AT1G04943;0,999964783;0,34035271
AT1G06623;0,999964783;0,34035271
AT1G07417;0,999964783;0,34035271
AT1G47940;0,999964783;0,34035271
AT2G01667;0,999964783;0,34035271
AT5G51195;0,799780411;0,34035271
AT4G33610;0,999964783;0,340128662
AT3G12977;0,999964783;0,339940875
AT1G08717;0,999964783;0,339940875
AT1G57370;0,999964783;0,339940875
AT1G24145;0,999964783;0,339499929
AT4G30120;0,999964783;0,339499929
AT4G38410;0,999964783;0,339499929
AT1G52245;0,999964783;0,339499929
AT1G07143;0,999964783;0,339499929
AT1G73610;0,999964783;0,339499929
AT5G46200;0,940361205;0,339499929
AT1G17300;0,999964783;0,339329675
AT5G64750;0,301007449;0,339161628
AT1G55050;0,999964783;0,338793381
AT5G43725;0,999964783;0,338793381
AT2G17770;0,999964783;0,338793381
AT3G10745;0,999964783;0,338793381
AT1G28750;0,999964783;0,338793381
AT1G49770;0,999964783;0,338793381
AT4G06685;0,999964783;0,335492221
AT5G44265;0,978939625;0,334175348
AT3G61940;0,999964783;0,334164827
AT2G03975;0,999964783;0,333244226
AT5G16490;0,999964783;0,333244226
AT3G29780;0,999964783;0,333244226
AT3G11640;0,999964783;0,333244226
AT1G30430;0,999964783;0,333244226
AT1G32763;0,999964783;0,333244226
AT1G53930;0,999964783;0,333244226
AT2G28420;0,999964783;0,333244226
AT5G50220;0,866658899;0,333244226
AT1G61080;0,999964783;0,333142365
AT1G69050;0,999964783;0,332643091
AT1G17610;0,999964783;0,331515487
AT1G44050;0,999964783;0,331320624
ATMG00990;0,999964783;0,331320624
AT1G05330;0,999964783;0,331320624
AT1G46768;0,999964783;0,331320624
AT1G34490;0,999964783;0,331320624
AT4G25631;0,999964783;0,331320624
